,benchmark,base,greedy1_ln,greedy2_ln,benchmark,base,greedy1_ln,greedy2_ln,benchmark,base,greedy1_ln,greedy2_ln
0,benchmark://mm64_256_16_range-v0/mm64_112_176,45.71478271484375,,,benchmark://mm64_256_16_range-v0/mm64_112_176,1.043853759765625,3.2013981342315674,3.201411008834839,benchmark://mm64_256_16_range-v0/mm64_112_176,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_112_192,48.93006896972656,,,benchmark://mm64_256_16_range-v0/mm64_112_192,0.4697093963623047,3.201366662979126,3.201416254043579,benchmark://mm64_256_16_range-v0/mm64_112_192,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_112_208,47.07600021362305,49.929473876953125,,benchmark://mm64_256_16_range-v0/mm64_112_208,0.42534852027893066,2.8042502403259277,3.201436758041382,benchmark://mm64_256_16_range-v0/mm64_112_208,,"['split_4', 'split_8', 'swap_down', 'up', 'swap_down', 'up', 'swap_down', 'up', 'swap_down', 'up']",failed
0,benchmark://mm64_256_16_range-v0/mm64_112_224,48.84794616699219,,,benchmark://mm64_256_16_range-v0/mm64_112_224,0.4980337619781494,3.2013401985168457,3.201392412185669,benchmark://mm64_256_16_range-v0/mm64_112_224,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_112_240,50.24372482299805,,,benchmark://mm64_256_16_range-v0/mm64_112_240,0.5313827991485596,3.201345682144165,3.201389789581299,benchmark://mm64_256_16_range-v0/mm64_112_240,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_112_256,47.1475944519043,48.90290069580078,,benchmark://mm64_256_16_range-v0/mm64_112_256,0.4782123565673828,2.455880880355835,3.201392650604248,benchmark://mm64_256_16_range-v0/mm64_112_256,,"['down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up']",failed
0,benchmark://mm64_256_16_range-v0/mm64_128_64,25.58376121520996,32.9254264831543,,benchmark://mm64_256_16_range-v0/mm64_128_64,0.10856342315673828,0.9924883842468262,3.201394557952881,benchmark://mm64_256_16_range-v0/mm64_128_64,,"['down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up']",failed
0,benchmark://mm64_256_16_range-v0/mm64_128_80,27.584814071655273,18.144216537475586,,benchmark://mm64_256_16_range-v0/mm64_128_80,0.38603973388671875,2.6947505474090576,3.09625506401062,benchmark://mm64_256_16_range-v0/mm64_128_80,,"['split_4', 'split_16', 'swap_down', 'up', 'swap_down', 'up', 'swap_down', 'up', 'swap_down', 'up']",failed
0,benchmark://mm64_256_16_range-v0/mm64_128_96,17.68136978149414,,,benchmark://mm64_256_16_range-v0/mm64_128_96,0.3610494136810303,3.2013700008392334,3.2013742923736572,benchmark://mm64_256_16_range-v0/mm64_128_96,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_128_112,27.282306671142578,,,benchmark://mm64_256_16_range-v0/mm64_128_112,0.48485398292541504,3.2013957500457764,3.2014172077178955,benchmark://mm64_256_16_range-v0/mm64_128_112,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_128_128,20.514657974243164,,,benchmark://mm64_256_16_range-v0/mm64_128_128,0.4622232913970947,3.20137357711792,3.201371192932129,benchmark://mm64_256_16_range-v0/mm64_128_128,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_128_144,27.51879119873047,27.522001266479492,,benchmark://mm64_256_16_range-v0/mm64_128_144,0.48473548889160156,2.813746690750122,3.201469898223877,benchmark://mm64_256_16_range-v0/mm64_128_144,,"['down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up']",failed
0,benchmark://mm64_256_16_range-v0/mm64_128_160,19.864810943603516,27.8125057220459,,benchmark://mm64_256_16_range-v0/mm64_128_160,0.3616950511932373,2.9984710216522217,3.2014026641845703,benchmark://mm64_256_16_range-v0/mm64_128_160,,"['swap_down', 'up', 'down', 'up', 'down', 'up', 'down', 'up', 'down', 'up']",failed
0,benchmark://mm64_256_16_range-v0/mm64_128_176,27.332290649414062,,,benchmark://mm64_256_16_range-v0/mm64_128_176,0.4672567844390869,3.2014529705047607,3.201387882232666,benchmark://mm64_256_16_range-v0/mm64_128_176,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_128_192,27.27777862548828,,,benchmark://mm64_256_16_range-v0/mm64_128_192,0.5112934112548828,3.201420783996582,3.2013838291168213,benchmark://mm64_256_16_range-v0/mm64_128_192,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_128_208,27.320457458496094,,,benchmark://mm64_256_16_range-v0/mm64_128_208,0.6053745746612549,3.201408863067627,3.2013943195343018,benchmark://mm64_256_16_range-v0/mm64_128_208,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_128_224,26.190080642700195,,,benchmark://mm64_256_16_range-v0/mm64_128_224,0.9779620170593262,3.201385259628296,3.2014167308807373,benchmark://mm64_256_16_range-v0/mm64_128_224,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_128_240,20.150146484375,,,benchmark://mm64_256_16_range-v0/mm64_128_240,0.7428126335144043,3.201423168182373,3.201423406600952,benchmark://mm64_256_16_range-v0/mm64_128_240,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_128_256,22.853008270263672,,,benchmark://mm64_256_16_range-v0/mm64_128_256,0.6268200874328613,3.2013933658599854,3.201383590698242,benchmark://mm64_256_16_range-v0/mm64_128_256,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_144_64,22.9494571685791,,,benchmark://mm64_256_16_range-v0/mm64_144_64,1.0863542556762695,3.2013957500457764,3.201373815536499,benchmark://mm64_256_16_range-v0/mm64_144_64,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_144_80,27.83344078063965,,,benchmark://mm64_256_16_range-v0/mm64_144_80,0.775101900100708,3.201385498046875,3.2013962268829346,benchmark://mm64_256_16_range-v0/mm64_144_80,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_144_96,17.6682186126709,,,benchmark://mm64_256_16_range-v0/mm64_144_96,0.632666826248169,3.201420307159424,3.201403856277466,benchmark://mm64_256_16_range-v0/mm64_144_96,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_144_112,28.604461669921875,,,benchmark://mm64_256_16_range-v0/mm64_144_112,0.7001564502716064,3.201420307159424,3.2014107704162598,benchmark://mm64_256_16_range-v0/mm64_144_112,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_144_128,27.119279861450195,,,benchmark://mm64_256_16_range-v0/mm64_144_128,0.5982816219329834,3.2014048099517822,3.2013988494873047,benchmark://mm64_256_16_range-v0/mm64_144_128,,failed,failed
0,benchmark://mm64_256_16_range-v0/mm64_144_144,28.446578979492188,,,benchmark://mm64_256_16_range-v0/mm64_144_144,0.6512296199798584,3.20137357711792,3.2014076709747314,benchmark://mm64_256_16_range-v0/mm64_144_144,,failed,failed
